Subject,Object
Palms Casino Resort,Station Casinos
Palms Casino Resort,Station Casinos
FIU Arena,Florida International University
Sherpa,Jim Ratcliffe
Berlin-Lichtenberg station,Deutsche Bahn
Hamburg Dammtor station,Deutsche Bahn
München Ost station,Deutsche Bahn
Kassel-Wilhelmshöhe station,Deutsche Bahn
Berlin Südkreuz station,Deutsche Bahn
Hamburg Dammtor station,Deutsche Bahn
Kassel-Wilhelmshöhe station,Deutsche Bahn
Hamburg Dammtor station,Deutsche Bahn
München Ost station,Deutsche Bahn
Acornsoft,Acorn computers
Walt Disney World Resort,"Disney Parks, Experiences and Products"
Walt Disney World Resort,"Disney Parks, Experiences and Products"
Ontario Highway 581,Ministry of Transportation of Ontario
Ontario Highway 11,Ministry of Transportation of Ontario
Charlie Hebdo,Laurent Sourisseau
Charlie Hebdo,Laurent Sourisseau
Atlantic Studios,Atlantic Records
TechTV,Ziff Davis
Campo de rugby Valle de las Cañas,Pozuelo de Alarcón
American Airlines Center,Dallas
UNF Arena,University of North Florida
Morgan Studios,Barry Morgan
Design for a door frame with round arch and fronton,Alfons Van Herck
Design for the wall of a chapel with two tombs,Alfons Van Herck
Design for the left-hand half of a door frame,Charles Van Herck
Design for a door frame with round arch,Charles Van Herck
Design for a door frame with round arch and fronton,Charles Van Herck
Design for the wall of a chapel with two tombs,Charles Van Herck
Design for the left-hand half of a door frame,Heritage Fund
Design for a door frame with round arch,Heritage Fund
Design for a door frame with round arch and fronton,Heritage Fund
Design for the wall of a chapel with two tombs,Heritage Fund
Design for a sacristy display case in Rococo style,Alfons Van Herck
Design for a sacristy display case in Rococo style,Alfons Van Herck
Preliminary sketch of an altar of Our Lady,Alfons Van Herck
Four designs for garden vases,Alfons Van Herck
Design for a statue of a woman with candlestick,Alfons Van Herck
BioWare,Electronic Arts
Sea-Saint Studios,Allen Toussaint
BR-319,Federal Government of Brazil
Beach Hotel,William H. Sinclair
Lotte World Tower,Lotte
Cadet Ice Arena,United States Air Force Academy
Darrell K Royal–Texas Memorial Stadium,University of Texas at Austin
Trafford Training Centre,Manchester United F.C.
patinoire René Froger,Briançon
Crown Perth,Crown Resorts Limited
Crown Perth,Crown Resorts Limited
University Arena,Western Michigan University
patinoire de Mériadeck,Ville de Bordeaux
Universal Orlando Resort,Universal Parks & Resorts
Journal of the Iranian Chemical Society,International Society of Sports Nutrition
Aliante Casino and Hotel,Boyd Gaming
Suncoast Hotel and Casino,Boyd Gaming
Studio Bagel,Canal+ Group
Metropolitan Stadium,Minneapolis
MTV,Viacom
Columbia Center,Beacon Capital Partners
The Guardian,Guardian Media Group
Bowie Mill Park,Maryland-National Capital Park and Planning Commission
Strathmore Park,Maryland-National Capital Park and Planning Commission
Saddlebrook Park,Maryland-National Capital Park and Planning Commission
Quebec Terrace Park,Maryland-National Capital Park and Planning Commission
Glenfield Park,Maryland-National Capital Park and Planning Commission
Georgian Forest Park,Maryland-National Capital Park and Planning Commission
Těšínská tiskárna,Naděžda Krejčířová
playing children,Bern
zodiac signs,Bern
untitled,Bern
flying geese,Bern
playing children,Bern
untitled,Bern
California Memorial Stadium,"University of California, Berkeley"
Memorial Athletic and Convocation Center,Kent State University
Athena,James H. Clark
Vaillant Arena,Davos
NEC,Sumitomo Group
Shangri-La,Rick Rubin
Venus,Laurene Powell Jobs
patinoire de Caen la mer,Communauté urbaine Caen la Mer
Appliqué inv. 853,Arenys de Mar Museum
Appliqué inv. 850,Arenys de Mar Museum
Appliqué inv. 848,Arenys de Mar Museum
Appliqué inv. 739,Arenys de Mar Museum
Appliqué inv. 734,Arenys de Mar Museum
