Subject,Object
KBlocks,KDEGames
Kapman,KDEGames
Kajongg,KDEGames
Granatier,KDEGames
KNetWalk,KDEGames
Torre a Cal Ferrer,Vila-robau
The Man with the Child in His Eyes / Moving,The Kick Inside
Beinn Achaladair,Bridge of Orchy
Beinn Achaladair,Bridge of Orchy
Beinn Achaladair,Bridge of Orchy
Auschwitz I concentration camp,Auschwitz concentration camps
Auschwitz I concentration camp,Auschwitz concentration camps
2004 Internazionali Femminili di Palermo,WTA Tier V tournaments
1955 Paris-Tours,1955 Challenge Desgrange-Colombo
1955 Paris-Tours,1955 Challenge Desgrange-Colombo
"Front wall, gate piers and gates to 17 North Hill Road",17 North Hill Road
Standing Committee of the National People's Congress,National People's Congress
2008 Cup of China - ice dancing compulsory dance,2008 Cup of China - ice dancing
Offenbach am Main,Frankfurt Rhine-Main Metropolitan Region
University at Buffalo,State University of New York
1989 UCI Road World Championships – Women's road race,1989 UCI Road World Championships
egg,Gado-gado
2014 Indian general election in Mandla Lok Sabha constituency,2014 Indian general election in Madhya Pradesh
Soyuz 12,Soyuz programme
Soyuz 23,Soyuz programme
Soyuz TM-10,Soyuz programme
Soyuz 22,Soyuz programme
Soyuz TM-5,Soyuz programme
Soyuz TM-6,Soyuz programme
Soyuz TM-26,Soyuz programme
Soyuz TM-15,Soyuz programme
Soyuz TM-17,Soyuz programme
Soyuz TM-16,Soyuz programme
Portal del Agua,Albarracín city walls
2009 UCI Road World Championships – Women's road race,2009 UCI Road World Championships
Holzkirchen station,Munich S-Bahn
Kreuzstraße station,Munich S-Bahn
Neufahrn,Munich S-Bahn
Kreuzstraße station,Munich S-Bahn
Großhelfendorf station,Munich S-Bahn
2013 FA Women's Cup Final,2012–13 FA Women's Cup
2001 Energis Open,2001 ATP Tour
February - pruning trees; Pisces,De Grey Hours
The raising of souls to Heaven,De Grey Hours
Arms of the Harrington family,De Grey Hours
Arms of the Woodville family,De Grey Hours
Arms of Ailmer de Valence,De Grey Hours
The Last Judgment,De Grey Hours
Arms of the Hastings family,De Grey Hours
De Grey Hours folio 13r,De Grey Hours
Arms of De Grey of Ruthin,De Grey Hours
December- slaughtering a pig; Capricorn,De Grey Hours
Arms of the Astley family,De Grey Hours
"Arms of De Quincy, Earls of Winchester",De Grey Hours
November- knocking down acorns for swine; Sagittarius,De Grey Hours
Christ flanked by two thieves,De Grey Hours
stable in Hosko forestry mansion,Hosko forestry mansion
Embraceable You,Great American Songbook
curry powder,curry
correlation,statistics
statistics,mathematics
2014 La Flèche Wallonne,2014 UCI World Tour
scenes from the history of Mary,St. Mary's Church
scenes from the history of Mary,St. Mary's Church
Greatest Remix Hits 1,Kylie Minogue remix albums discography
Essential Mixes,Kylie Minogue remix albums discography
Mixes,Kylie Minogue remix albums discography
2017 Canadian Grand Prix,2017 Formula One season
Arkansas Senate,Arkansas General Assembly
[DCD2013] CSS J131216.4+042216,Sagittarius Stream
[DCD2013] CSS J134315.7+094544,Sagittarius Stream
[DCD2013] CSS J122638.1+093409,Sagittarius Stream
[DCD2013] CSS J135822.4-024448,Sagittarius Stream
[DCD2013] CSS J131106.8-030007,Sagittarius Stream
[DCD2013] CSS J132820.0+060507,Sagittarius Stream
[DCD2013] CSS J134844.7+010227,Sagittarius Stream
[DCD2013] CSS J130408.0+073718,Sagittarius Stream
[DCD2013] CSS J132745.4+054157,Sagittarius Stream
[DCD2013] CSS J133849.5+084607,Sagittarius Stream
SDSS J122114.17+090338.5,Sagittarius Stream
2QZ J133326.9-021616,Sagittarius Stream
The Sensual World / Walk Straight Down The Middle,The Sensual World
The Sensual World / Walk Straight Down The Middle,The Sensual World
2012 Grand Prix d'Isbergues,2012 UCI Europe Tour
2012 Grand Prix d'Isbergues,2012 UCI Europe Tour
Halle Gate,Royal Museums of Art and History
Halle Gate,Royal Museums of Art and History
RNA polymerase sigma-70 like domain,RNA polymerase sigma-Z type
Státní okresní archiv Kutná Hora,Státní oblastní archiv v Praze
1990 UCI Road World Championships – Women's road race,1990 UCI Road World Championships
Ecclesiastes 1,Ecclesiastes
January 2015,2015
2009 Grand Prix d'Isbergues,2009 French Road Cycling Cup
2009 Grand Prix d'Isbergues,2009 French Road Cycling Cup
Borgholm Municipality,Öland
NAD,Ectoine utilization protein EutC
2014 Indian general election in Gurgaon Lok Sabha constituency,2014 Indian general election in Haryana
2014 Indian general election in Karnal Lok Sabha constituency,2014 Indian general election in Haryana
DL-amphetamine,cellular response to amphetamine
DL-amphetamine,response to amphetamine
1950 Paris-Tours,1950 Challenge Desgrange-Colombo
1950 Paris-Tours,1950 Challenge Desgrange-Colombo
1950 Paris–Brussels,1950 Challenge Desgrange-Colombo
anthropology,social science
Experiment IV / Wuthering Heights,Kate Bush UK singles discography
1999 FA Women's Cup Final,1998–99 FA Women's Cup
Victoria tube station,London Victoria station
Tropical storm in 1989 Karen,1989 Atlantic hurricane season
Tropical storm Iris,1989 Atlantic hurricane season
Tropical storm Barry,1989 Atlantic hurricane season
Marchena Island,Galápagos Islands
Pinta Island,Galápagos Islands
Española Island,Galápagos Islands
Floreana Island,Galápagos Islands
University of Edinburgh School of Law,University of Edinburgh
autogenesis,psychology
PGC 55844,[T2015] nest 100595
PGC 55844,[T2015] nest 100595
2009 Skate America - ice dancing compulsory dance,2009 Skate America - ice dancing
Squadron 46,Flying Regiment 4
No. 42 Squadron,Flying Regiment 4
Squadron 46,Flying Regiment 4
Kirchenbezirk Öhringen,Evangelical-Lutheran Church in Württemberg
Kirchenbezirk Weinsberg,Evangelical-Lutheran Church in Württemberg
Kirchenbezirk Vaihingen an der Enz,Evangelical-Lutheran Church in Württemberg
Kirchenbezirk Weikersheim,Evangelical-Lutheran Church in Württemberg
Kirchenbezirk Tuttlingen,Evangelical-Lutheran Church in Württemberg
Kirchenbezirk Tübingen,Evangelical-Lutheran Church in Württemberg
Kirchenbezirk Böblingen,Evangelical-Lutheran Church in Württemberg
Kirchenbezirk Brackenheim,Evangelical-Lutheran Church in Württemberg
Kirchenbezirk Bernhausen,Evangelical-Lutheran Church in Württemberg
[CBC2012] Obj6,Cl Danks 2
2018 Salford City Council election in Irlam,2018 Salford City Council election
2018 Salford City Council election in Eccles,2018 Salford City Council election
2018 Salford City Council election in Claremont,2018 Salford City Council election
2018 Salford City Council election in Barton,2018 Salford City Council election
Battle of Shiloh,Western Theater of the American Civil War
Sentinel-1B,Sentinel-1
"University of California, Berkeley",University of California
"University of California, Berkeley",University of California
"University of California, Berkeley",University of California
"University of California, Davis",University of California
2013 Australian Grand Prix,2013 Formula One season
2014 Indian general election in Jammu Lok Sabha constituency,2014 Indian general election in Jammu and Kashmir
Nuremberg Central Station,Nuremberg S-Bahn
1996 European Grand Prix,1996 Formula One season
semiotics,literary studies
Sgùrr Alasdair,Scottish Highlands
Sgùrr Alasdair,Scottish Highlands
Chitinase II domain,Imaginal disc growth factor
D33 J013421.3+304537.1,Triangulum Galaxy
[KMW87] Q11994,Triangulum Galaxy
[KMW87] P22263,Triangulum Galaxy
[KMW87] Q21314,Triangulum Galaxy
D33 J013355.3+304343.5,Triangulum Galaxy
[LKS2002] C174,Triangulum Galaxy
D33 J013355.0+304643.2,Triangulum Galaxy
D33 J013352.1+304702.9,Triangulum Galaxy
[KMW87] P14523,Triangulum Galaxy
D33 J013335.6+303649.2,Triangulum Galaxy
D33 J013415.9+304612.7,Triangulum Galaxy
[NM2011] J013356.33+303420.8,Triangulum Galaxy
[NM2011] J013326.60+303550.3,Triangulum Galaxy
LGGS J013401.91+303819.3,Triangulum Galaxy
Station 10 Keulenberg,Royal Saxon triangulation network
Station 17 Rochlitz,Royal Saxon triangulation network
Station 13 Udohöhe,Royal Saxon triangulation network
Station 158 Kandelstein,Royal Saxon triangulation network
1995 Paris–Bourges,Coupe de France 1995
Emmerich am Rhein,constituency for the Bundestag election Kleve
Masseter muscle,Muscles of mastication
Evangelical Lutheran Church of Mecklenburg,Evangelical Church in Germany
Evangelical Lutheran Church in Brunswick,Evangelical Church in Germany
Pomeranian Evangelical Church,Evangelical Church in Germany
