Subject,Object
Ender Wiggin,Asa Butterfield
Ender Wiggin,Asa Butterfield
Jay Park discography,Jay Park
Conan the Barbarian,Arnold Schwarzenegger
Bart Simpson,Nancy Cartwright
Bart Simpson,Nancy Cartwright
Sunshine of Your Love,Cream
SWLABR,Cream
Joaquin de la Vega,Adrian Alonso
Joaquin de la Vega,Adrian Alonso
Giddy,Dorothy Scott
Parade,Prince and the Revolution
Satanstornade,Russell Haswell
On the Floor,Jennifer Lopez
Mrs. Jumbo,Betty Noyes
Mrs. Jumbo,Verna Felton
Glen Campbell collaborative discography,Glen Campbell
Prissy,Sarah Selby
Bonk,Henry Rollins
Bonk,Adam Baldwin
Maid Marian,Monica Evans
Johnny Cash Sun Records discography,Johnny Cash
Barry Allen,Justin Chambers
Barry Allen,Jack Angel
Your Name,Radwimps
Star Wars Episode IV: A New Hope,London Symphony Orchestra
Star Wars Episode IV: A New Hope,John Williams
Bran Stark,Isaac Hempstead-Wright
Bran Stark,Isaac Hempstead-Wright
Bran Stark,Isaac Hempstead-Wright
Donatello,Corey Feldman
Donatello,Corey Feldman
Donatello,Corey Feldman
Mr. Arrow,Roscoe Lee Browne
Abraham Van Helsing,Laurence Olivier
Sergio Mendes & Brasil '66 discography,Sergio Mendes & Brasil '66
The Glory of Gershwin,Larry Adler
Michelangelo,Jarred Blancard
Michelangelo,Jarred Blancard
Michelangelo,Jarred Blancard
Iva Zanicchi international discography,Iva Zanicchi
Splinter,Tony Shalhoub
Sarabi,Madge Sinclair
Doctor Doppler,David Hyde Pierce
Doctor Doppler,David Hyde Pierce
The Wiz: Original Motion Picture Soundtrack,Theresa Merritt
The Wiz: Original Motion Picture Soundtrack,Thelma Carpenter
The Wiz: Original Motion Picture Soundtrack,Richard Pryor
The Jimi Hendrix Experience discography,The Jimi Hendrix Experience
Man on the Moon,R.E.M.
A Jazz Portrait of Frank Sinatra,The Oscar Peterson Trio
Xanadu,Pøls
Raphael,Alan Ritchson
Raphael,Alan Ritchson
Raphael,Alan Ritchson
Raphael,Alan Ritchson
Raphael,Alan Ritchson
Danny Torrance,Ewan McGregor
Danny Torrance,Ewan McGregor
Smegma Plays Merzbow Plays Smegma,Merzbow
Partikel II,Merzbow
Partikel,Merzbow
Mer Mar,Merzbow
Prince John,Peter Ustinov
Harry and the Potters discography,Harry and the Potters
Steve Trevor,Justin Bruening
Steve Trevor,Chris Pine
Porter Wagoner and Dolly Parton discography,Porter Wagoner and Dolly Parton
Marcus Wright,Sam Worthington
Sakura Gakuin discography,Sakura Gakuin
Catty,Noreen Gammill
Arya Stark,Maisie Williams
Arya Stark,Maisie Williams
Arya Stark,Maisie Williams
Lisa Simpson,Yeardley Smith
Lisa Simpson,Yeardley Smith
Do They Know It's Christmas?,Band Aid
Qui-Gon Jinn,Fred Tatasciore
Qui-Gon Jinn,Liam Neeson
Weirs,Luke Vibert
Leonardo,Johnny Knoxville
Leonardo,Johnny Knoxville
Leonardo,David Forman
The Hundred-Foot Journey,A. R. Rahman
Wonder Woman,Gal Gadot
Wonder Woman,Emily Carey
Princess Leia,Ingvild Deila
Princess Leia,Carrie Fisher
When the Wind Blows,Roger Waters
Sgt. Pepper's,Big Daddy
Axwell & Ingrosso discography,Axwell Λ Ingrosso
N'oublie pas que tu vas mourir,John Cale
Saint-Cyr,John Cale
Process,John Cale
Duke Ellington Orchestra discography,Duke Ellington Orchestra
The Beatles Swedish discography,The Beatles
The Beatles UK discography,The Beatles
Yellow Submarine,The Beatles
The Beatles international discography,The Beatles
Robert Arryn,Lino Facioli
Robert Arryn,Lino Facioli
Robert Arryn,Lino Facioli
Sarafina,Zoe Leader
John Silver,Brian Murray
