Subject,Object
Diccionario biográfico de artistas valencianos,Valencia
Apuntes bibliográficos de la prensa carlista,Valencia
Grasas y Aceites,Seville
Ola Financiera,Mexico City
Roberto Carlos,Brazil
Torquato Tasso e la principessa Eleonora d'Este,Florence
Daily Astorian,Astoria
Sat In Your Lap / Lord Of The Reedy River,Ireland
Hammer Horror / Coffee Homeground,Ireland
The Man with the Child in His Eyes / Moving,Ireland
On Stage EP,Ireland
Experiment IV / Wuthering Heights,Ireland
Vegueta,Las Palmas de Gran Canaria
Manual de biografía y de bibliografía de los escritores españoles del siglo XIX,Paris
Hystrix,Rome
The Asian Reporter,Portland
The Dalles Chronicle,The Dalles
Troilus i Kresyda,Lviv
Król Henryk IV. Część II,Lviv
Błagalnice,Lviv
Persowie,Lviv
Siedmiu przeciw Tebom,Lviv
King Of The Mountain,Europe
King Of The Mountain,Europe
King Of The Mountain,Europe
The Sensual World / Walk Straight Down The Middle,United Kingdom
The Sensual World / Walk Straight Down The Middle,United Kingdom
La Luna / Whatever It Takes,United Kingdom
Huckleberry Finns äventyr,Stockholm
Running Up That Hill,worldwide
Pearl in the Palm,Western Xia
Thunder,Switzerland
So Fresh: The Hits of Winter 2011 CD+DVD,Australia
So Fresh: The Hits of Winter 2010 CD+DVD,Australia
So Fresh: The Hits of Winter 2009 + Bonus DVD,Australia
So Fresh: The Hits of Winter 2008 + Bonus DVD,Australia
So Fresh: The Hits of Spring 2010,Australia
So Fresh: The Hits of Spring 2008 + Bonus DVD,Australia
So Fresh: The Hits of Spring 2009 + Bonus DVD,Australia
So Fresh: The Hits of Autumn 2010 + Bonus DVD,Australia
So Fresh: The Hits of Autumn 2009 + Bonus DVD,Australia
Then Again…,Canada
The English Schoole-Master,London
"Flint Castle, north Wales",London
"Carew Castle, Pembroke",London
"Tal y Llyn, Merionethshire",London
"Llanelltyd Church: near Dolgellau, Merionethshire",London
"Llanelltyd Church, near Dolgellau, Merionethshire",London
"Carew Castle, Pembrokeshire",London
"Pont y Prydd, Glamorganshire",London
"Cardiff castle, Glamorganshire",London
"View on the Rhiew, Montgomeryshire",London
"The Eagle Tower, Caernarvan Castle",London
Picton Castle,London
"Pengwern Place, Flintshire",London
Miscelánea de Estudios Árabes y Hebraicos. Sección Hebreo,Granada
Revista del Centro de Estudios Históricos de Granada y su Reino,Granada
Verba Hispanica,Ljubljana
West Linn Tidings,West Linn
Colección 1985-1998,Spain
Grandes éxitos,Mexico
Grandes éxitos,Spain
Grandes éxitos,Spain
Gamengrund und Rüdersdorf,Berlin
Im Warthebruch,Berlin
In's Ruppiner Land,Berlin
Um den Scharmützel-See,Berlin
In's Land Lebus,Berlin
Im Spreewald,Berlin
Informes de la Construcción,Madrid
Revista Internacional de Sociología,Madrid
Informes de la Construcción,Madrid
Diccionario biográfico matritense,Madrid
Unos cuantos seudónimos de escritores españoles con sus correspondientes nombres verdaderos,Madrid
"Apuntes para una biblioteca española de libros, folletos y artículos, impresos y manuscritos, relativos al conocimiento y explotación de las riquezas minerales y a las ciencias auxiliares : acompañados de reseñas biográficas y de un ligero resumen",Madrid
Ensayo de un catálogo de periodistas españoles del siglo XIX,Madrid
Galería biográfica de artistas españoles del siglo XIX,Madrid
Diccionario biográfico matritense,Madrid
El toreo. Gran diccionario tauromáquico,Madrid
