Subject,Object
World Series of Poker: Full House Pro,Microsoft Windows
Marvel Trading Card Game,Microsoft Windows
Solitaire,Microsoft Windows
Spectromancer,Microsoft Windows
Quake engine,Microsoft Windows
Mega Man,Microsoft Windows
Mega Man,Super Nintendo Entertainment System
Freeciv,Microsoft Windows
Mario franchise,ColecoVision
Mario franchise,MS-DOS
64 Trump Collection: Alice no Waku Waku Trump World,Nintendo 64
Blender,x86
id Tech 3,IBM PC compatible
id Tech 3,IBM PC compatible
Widelands,macOS
