Subject,Object
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Lisa Henson
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Lisa Henson
When the Wind Blows,Roger Waters
Man on the Moon,Pat McCarthy
Parade,Prince
Godzilla vs. Kong,Mary Parent
The Wiz: Original Motion Picture Soundtrack,Quincy Jones
The Wiz: Original Motion Picture Soundtrack,Quincy Jones
The Wiz: Original Motion Picture Soundtrack,Quincy Jones
Cinderella,David Barron
The BFG,Steven Spielberg
The BFG,Frank Marshall
The BFG,Steven Spielberg
Wonder Woman 1984,Zack Snyder
N'oublie pas que tu vas mourir,John Cale
Saint-Cyr,John Cale
Process,John Cale
An Unearthly Child,Mervyn Pinfield
The Edge of Destruction,Mervyn Pinfield
An Unearthly Child,Mervyn Pinfield
Marco Polo,Mervyn Pinfield
An Unearthly Child,Mervyn Pinfield
Star Wars: Episode I – The Phantom Menace,Rick McCallum
Family Guy: Live in Vegas,Seth MacFarlane
Black Widow,Kevin Feige
Star Wars Episode IV: A New Hope,George Lucas
Star Wars Episode IV: A New Hope,George Lucas
Morbius,Avi Arad
Alice Through the Looking Glass,Jennifer Todd
Alice Through the Looking Glass,Joe Roth
Alice Through the Looking Glass,Tim Burton
Xanadu,Jeff Lynne
