Subject,Object
The Prude's Fall,Alfred Hitchcock
Pulp Fiction,David Wasco
The Shape of Water,Paul Denham Austerberry
Blackhat,Guy Hendrix Dyas
Gemini Man,Guy Hendrix Dyas
War Horse,Rick Carter
Souls for Sables,Edwin B. Willis
Absolutely Anything,James Acheson
Battle of Warsaw 1920,Andrzej Haliński
A Man's Man,Robert Brunton
Black Panther,Hannah Beachler
Star Trek Beyond,Thomas E. Sanders
The Squaw Man,Wilfred Buckland
American Hustle,Heather Loeffler
The Dark Valley,Claus Rudolf Amler
Joker,Mark Friedberg
Fantastic Beasts and Where to Find Them,Stuart Craig
Mad Max: Fury Road,Colin Gibson
Child 44,Jan Roelfs
Schindler's List,Ewa Braun
Thor,Bo Welch
Another Way,Tamás Vayer
300: Rise of an Empire,Patrick Tatopoulos
