Subject,Object
"Heimatforschung in Europa – ein Aufruf, oder: Call for Participation",2019-07-19
"Chagas disease: ""the new HIV/AIDS of the Americas""",2012-01-01
"Chagas disease: ""the new HIV/AIDS of the Americas""",2012-01-01
Monsuno,2012-01-01
Monsuno,2012-01-01
Rondo in C for Violin and Orchestra,1781-01-01
Rondo in C for Violin and Orchestra,1781-01-01
Berts bekymmer,1994-01-01
Federation,1994-01-01
The Glory of Gershwin,1994-01-01
Shirin Neshat: Art in exile,2011-05-25
On Wenlock Edge,1909-01-01
On Wenlock Edge,1909-01-01
Predator: Life and Death,2016-01-01
Monument of nature? An ethnography of the World Heritage of Mt. Kenya,2016-01-01
Vandalism Detection in Wikidata,2016-01-01
Vandalism Detection in Wikidata,2016-01-01
Vandalism Detection in Wikidata,2016-01-01
Vandalism Detection in Wikidata,2016-01-01
Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,2015-04-17
Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,2015-04-17
Violin concerto No. 4,1954-01-01
Huckleberry Finns äventyr,1913-01-01
NRHP nomination: Oregon Caves Historic District,1991-06-01
Alien vs. Predator: Fire and Stone,2014-10-08
Amy Smith: Simple designs to save a life,2006-08-15
Erratum to: Conformational changes and translocation of tissue-transglutaminase to the plasma membranes: role in cancer cell migration.,2016-08-08
Monumente der Störung – Disruptive Eingriffe ins Dresdner Stadtbild,2019-10-01
The Portrait,1835-01-01
Classification of Knowledge Organization Systems with Wikidata,2016-09-01
V.I.P. Casino: Blackjack,2008-05-12
NRHP nomination: Brown Street Historic District,1994-02-01
Atari Lynx,1989-09-01
Monumentos Arquitectónicos de España,1859-01-01
Time for Yesterday,1988-04-01
Running Up That Hill,2012-08-12
Aliens: Life and Death,2016-09-21
Abercrombie River National Park Plan of Management,2006-02-01
Hug Wolf,2012-05-14
The Guardian of Time,2011-06-17
The Truth of the Karuta Cards,2011-06-17
Horsehair Crab from Suwa Lake,2011-06-17
The Boy Who Cried Wolf,2011-06-17
Fake Feet,2011-06-17
The Moving Corpse,2011-06-17
A Terrible Death,2011-06-17
Communications Code,2011-06-17
A Dangerous Game of Hide-and-seek,2011-06-17
A Person in Need of Rescue,2011-06-17
A Troublesome and Difficult Case,2011-06-17
Texas Hold'em King,2004-01-01
Essential Evidence-Based Medicine,2004-01-01
Frozen Bubble,2002-02-08
Wii U,2012-11-18
The Von Bülow Affair : the Objective Behind-the-Scenes Account of the Shocking Attempted Murder Case,2014-01-01
Summer Nationals,2014-01-01
2012-13 Live EP,2014-01-01
Introducing Wikidata to the Linked Data Web,2014-01-01
Introducing Wikidata to the Linked Data Web,2014-01-01
Joan Halifax: Compassion and the true meaning of empathy,2011-09-02
EXIT : E,2016-02-01
Prometheus: Life and Death,2016-06-08
Venuksen koulu,2018-02-06
Burt Rutan: The real future of space exploration,2006-10-25
Marvel Trading Card Game,2007-02-27
"Hans Rosling: Insights on HIV, in stunning data visuals",2009-05-13
The Nigger of the 'Narcissus',1897-01-01
Troilus i Kresyda,1897-01-01
Mortal Kombat,2021-01-01
Adagio in E for Violin and Orchestra,1776-01-01
call boy,2001-07-05
"Concerto No. 4 in F minor, Op. 8, RV 297",1725-01-01
"Concerto No. 3 in F major, Op. 8, RV 293",1725-01-01
Angel Beats!,2010-01-01
Strange Case of Dr Jekyll and Mr Hyde,1886-01-01
Solitaire,1989-01-01
Spock's World,1989-01-01
NRHP nomination: Ivoryton Historic District,2013-03-21
"The Most Beautiful Moment In Life, Part 2",2015-11-30
Violin Concerto No. 2,1875-01-01
Analysis of Wikipedia's Translation Tool and its uses in Education,2017-04-01
The Touchstone,1900-01-01
Tarlo River National Park Plan of Management,1998-08-01
Coming out of the trenches... safely,2008-11-21
64 Trump Collection: Alice no Waku Waku Trump World,1998-08-07
The Man with the Child in His Eyes / Moving,1978-05-12
Happy New Year,2015-04-18
Cuts,2013-02-07
House Party,1970-01-01
Partikel II,2007-02-09
The Rose of Versailles,1979-01-01
Erratum to: Modeling the spread of polio in an IPV-vaccinated population: lessons learned from the 2013 silent outbreak in southern Israel.,2016-08-19
The Amazon,1866-01-01
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,2019-01-01
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,2019-01-01
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,2019-01-01
T2WML: Table To Wikidata Mapping Language,2019-01-01
The Bechly Family in North America,2019-01-01
Gravetat Zero,2019-01-01
The Boys of Fall,2010-07-12
Operation Paperclip: The Secret Intelligence Program that Brought Nazi Scientists to America,2015-01-01
The Orpheus Clock : the search for my family's art treasures stolen by the Nazis,2015-01-01
Crosswords,2015-01-01
High Tower,2015-01-01
Nintendo DS,2004-11-21
Corrigendum: LSD1 is essential for oocyte meiotic progression by regulating CDC25B expression in mice.,2016-04-20
Western States Division: your gateway to working with NIOSH in the west,2018-09-01
La Luna / Whatever It Takes,1989-12-04
Ethan Frome,1911-09-01
BZFlag,2007-11-15
The Sensual World / Walk Straight Down The Middle,1989-09-18
The Sensual World / Walk Straight Down The Middle,1989-09-18
The Beast in the Jungle,1903-01-01
Uno,2006-05-09
Uno,2006-05-09
Bongil Bongil National Park Plan of Management,1999-11-01
Tooloom National Park Plan of Management,1999-11-01
"Sheikha Al Mayassa: Globalizing the local, localizing the global",2012-02-08
"Marramarra National Park, Muogamarra Nature Reserve and Maroota Historic Site Plan of Management",1998-12-14
Nintendo GameCube,2001-01-01
Bert och Boysen,1996-01-01
The Adventures of Chip 'n' Dale,1959-02-27
Thunder,2017-06-30
Sat In Your Lap / Lord Of The Reedy River,1981-06-21
Become a NIOSH-Certified B Reader.,2018-10-01
Using naloxone to reverse opioid overdose in the workplace: information for employers and workers,2018-10-01
D.I.C.E.,2005-01-01
Ion Mobility Spectrometry,2005-01-01
Botulinum Toxin,2005-01-01
Predator: Fire and Stone,2014-10-22
Minetest Game,2011-02-01
Aberbaldie Nature Reserve Plan of Management,2011-02-01
Aliens,2009-05-02
Straight Outta Burbank...,2015-11-27
Merzdub,2006-10-30
The Turn of the Screw,1898-01-01
Gamengrund und Rüdersdorf,1898-01-01
Im Warthebruch,1898-01-01
In's Ruppiner Land,1898-01-01
Um den Scharmützel-See,1898-01-01
In's Land Lebus,1898-01-01
Im Spreewald,1898-01-01
'Night Fishing Is Good' Tour 2008 in Sapporo,2008-08-06
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",2015-02-25
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",2015-02-25
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",2015-02-25
The Santa Fe Trail,1923-01-01
In the Days of Daniel Boone,1923-01-01
A Dangerous Adventure,1922-01-01
The Devil,1911-01-01
Błagalnice,1911-01-01
Persowie,1911-01-01
Siedmiu przeciw Tebom,1911-01-01
My Life,1896-01-01
De Violeta Parra,1967-01-01
Dead Horse,1993-01-01
The Esperanto Language as a Literary Medium,1972-01-01
Tremulous,2005-08-11
Bill Gates: Innovating to zero!,2010-02-18
Grundlagen der Bibliotheksarbeit: Offenheit als Maxime in der Forschung,2019-08-23
Wake Me Up,2013-01-01
Describing Data Patterns,2013-01-01
Bert och bacillerna,1997-01-01
Extramedullary plasmacytoma occuring in ileocecum: A case report and literature review.,2017-12-01
Extramedullary plasmacytoma occuring in ileocecum: A case report and literature review.,2017-12-01
Jung Brutal Gutaussehend 3,2017-12-01
Erratum to: The GOOD life: Study protocol for a social norms intervention to reduce alcohol and other drug use among Danish adolescents.,2017-05-24
Antike und Antikenrezeption in sächsischen Museen. Ausstellungsgeschichte – Bestandsentwicklung – Technologiewandel,2019-07-16
Hans Rosling: The best stats you've ever seen,2006-06-27
Al Gore: Averting the climate crisis,2006-06-27
"Clarinet Concerto No. 1 in F Minor, Op. 73: III. Rondo. Allegretto",2018-12-19
"Clarinet Concerto No. 1 in F Minor, Op. 73: II. Adagio ma non troppo",2018-12-19
"Clarinet Concerto No. 1 in F Minor, Op. 73: I. Allegro",2018-12-19
Concerto No. 1 in D Minor for Oboe and Orchestra: III. Allegro,2018-12-19
