Subject,Object
RE:Mellodunum,"Pauly-Wissowa vol. XV,1"
Analysis of Wikipedia's Translation Tool and its uses in Education,"Proceedings of the 5th Panhellenic Scientific Conference ""Integration and Use of ICT in the Educational Process"""
2014 Annual Meeting of the North American Congress of Clinical Toxicology,Clinical Toxicology
The Paranoid Style in American Politics,Harper's Magazine
"The Eagle Tower, Caernarvan Castle","A collection of one hundred and fifty select views, in England, Scotland, and Ireland"
Picton Castle,The seats of the nobility and gentry
The German Front,Vanity Fair
Introducing Wikidata to the Linked Data Web,"The Semantic Web – ISWC 2014, Part I"
Introducing Wikidata to the Linked Data Web,"The Semantic Web – ISWC 2014, Part I"
2012 Total Worker Health Symposium,Journal of Occupational and Environmental Medicine
Monumente der Störung – Disruptive Eingriffe ins Dresdner Stadtbild,saxorum.hypotheses.org
Der Lichtenburger Konvent von 1576,saxorum.hypotheses.org
Grundlagen der Bibliotheksarbeit: Offenheit als Maxime in der Forschung,saxorum.hypotheses.org
"Heimatforschung in Europa – ein Aufruf, oder: Call for Participation",saxorum.hypotheses.org
Antike und Antikenrezeption in sächsischen Museen. Ausstellungsgeschichte – Bestandsentwicklung – Technologiewandel,saxorum.hypotheses.org
Regionenbezogene Sinnstiftung durch Antikerezeption in der sächsischen Landes- und Regionalgeschichtsschreibung des 19. und 20. Jahrhunderts,saxorum.hypotheses.org
Kompakte Darstellung der Chemnitzer Stadtgeschichte,saxorum.hypotheses.org
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",World Journal of Surgical Oncology
Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,World Journal of Surgical Oncology
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",World Journal of Surgical Oncology
Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,World Journal of Surgical Oncology
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",World Journal of Surgical Oncology
ASCHA/NIOSH Conference: Selected Abstracts,Journal of Agromedicine
"Tal y Llyn, Merionethshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
"Llanelltyd Church: near Dolgellau, Merionethshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
"Llanelltyd Church, near Dolgellau, Merionethshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
"Carew Castle, Pembrokeshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
"Pont y Prydd, Glamorganshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
"Cardiff castle, Glamorganshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
"View on the Rhiew, Montgomeryshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,German medical science : GMS e-journal
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,German medical science : GMS e-journal
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,German medical science : GMS e-journal
International workshop on retrospective exposure assessment for occupational epidemiologic studies,Journal of Occupational and Environmental Hygiene
"Clarinet Concerto No. 1 in F Minor, Op. 73: III. Rondo. Allegretto","Weber: Clarinet Concerto No. 1 in F Minor, Op. 73"
"Clarinet Concerto No. 1 in F Minor, Op. 73: II. Adagio ma non troppo","Weber: Clarinet Concerto No. 1 in F Minor, Op. 73"
"Clarinet Concerto No. 1 in F Minor, Op. 73: I. Allegro","Weber: Clarinet Concerto No. 1 in F Minor, Op. 73"
Classification of Knowledge Organization Systems with Wikidata,Proceedings of the 15th European Networked Knowledge Organization Systems Workshop
"Pengwern Place, Flintshire","Views of the seats of noblemen and gentlemen, in England, Wales, Scotland, and Ireland"
Concerto No. 1 in D Minor for Oboe and Orchestra: III. Allegro,Lebrun: Oboe Concerto No. 1 in D Minor
Concerto No. 1 in D Minor for Oboe and Orchestra: II.  Grazioso,Lebrun: Oboe Concerto No. 1 in D Minor
Vandalism Detection in Wikidata,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management
Vandalism Detection in Wikidata,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management
Vandalism Detection in Wikidata,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management
Vandalism Detection in Wikidata,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management
Attikos 10a-f,"Pauly-Wissowa vol. II,2"
The One Number You Need to Grow,Harvard Business Review
"Flint Castle, north Wales",Picturesque Views in England and Wales
"Carew Castle, Pembroke",Picturesque Views in England and Wales
Marvel's 'Doctor Strange' begins production,marvel.com
Thor Brings Ragnarok to the Marvel Cinematic Universe in 2017,marvel.com
Chadwick Boseman to Star in Marvel's Black Panther,marvel.com
RYAN COOGLER TO DIRECT MARVEL'S 'BLACK PANTHER',marvel.com
Extramedullary plasmacytoma occuring in ileocecum: A case report and literature review.,Medicine
A case report of tongue metastasis from lung squamous cell carcinoma and literature review.,Medicine
Extramedullary plasmacytoma occuring in ileocecum: A case report and literature review.,Medicine
A case report of tongue metastasis from lung squamous cell carcinoma and literature review.,Medicine
