Subject,Object
SDSS J121504.44+004726.0,137615.0
Gamma Doradus,25.2
Gamma Leporis,-9.19
V* V2657 Ori,23.370308
MLCG 0619,6259.0
Messier 61,1567.0
Messier 61,1567.0
28 Librae,8.09
2MASS J19141637+4232025,-39.02
HD 89744,-5.3
2MASS J19264357+4807193,-227.49
SDSS J123427.98-024129.5,113595.0
[HS80] B182,-89.2
NGC 3857,6209.0
KOI-2585,-53.9
1SWASP J160202.07+121213.5,-21.96
Tupi,-0.933
Abell 2261,59830.0
OGLE SMC-SC9 73218,114.0
[KAD2010] SDSS J1537+6556 lens,67965.0
SN 2007bu,8859.0
SN 2007bq,8859.0
SN 2007bp,8859.0
Abell 262,4788.0
SDSS J084121.74+501720.1,124246.0
V* EW Dra,-18.524
NGC 7500,10620.0
Gamma Capricorni,-31.2
Gamma Capricorni,-31.2
[RHS2000] 1-1106,14.012523
MLCG 1580,8830.0
UGC 7942,859.0
HD 96064,18.777
ESO-HA 1293,22.284056
VV 699,4187.0
PGC 57093,13069.0
SN 2007bd,9440.0
PGC 62346,4237.0
PGC 62346,4237.0
SN 2007ax,1913.0
[DCD2013] CSS J132820.0+060507,-31.1
49 Librae,-18.8
SV* HV 2031,93.0
Cl* NGC 5139 LEID 42508,246.3
TYC 5518-774-1,-21.74
Abell 2744,78614.0
28 Cancri,9.0
PGC 58501,962.0
Mu Arae,-9.39
PGC 69307,7227.0
ESO-HA 1497,26.988117
V* V397 Vir,218.0
V* V991 Ori,24.528658
Cl* NGC 5139 L 1078,207.79
SWELLS SDSS J1203+2535 lens,28757.0
NGC 59,362.0
ESO 323-18,4754.0
ESO 323-18,4754.0
ESO 320-35,2997.0
2MASS J09255597+0649540,-35.5
V* AN CrB,-13.69
50 Librae,-20.1
SWELLS SDSS J0822+1828 lens,32585.0
Cl* NGC 5139 L 1019,248.0
1SWASP J222514.69+361643.0,-19.26
CD-60 6745,255.02
[FK2002] 6,3916.0
UGC 7845,7736.0
Kepler-10,-98.12
DS Crucis,-21.9
[DCD2013] CSS J122638.1+093409,28.2
1SWASP J011732.10+525204.9,-142.5
[SAB2013] SDSS J0921+1810 lens,143345.0
Cl* NGC 5139 LEID 44026,242.6
Cl* NGC 5139 LEID 35035,232.8
SN 2007bt,11752.0
SN 2007bo,11752.0
UGC 8053,709.0
V* V1076 Ori,24.110361
V4381 Sagittarii,-16.0
V4381 Sagittarii,-16.0
SDSS J133751.31+362018.0,125852.0
RSCG 80,2686.0
ESO 268-34,2883.0
ESO 268-34,2883.0
2MASS J19002573+4537087,18.86
2MASS J05353270-0630181,26.835873
V* V396 Vir,179.0
Kepler-20,-21.31
Kepler-20,-21.31
3C 371,14900.0
[DCD2013] CSS J134844.7+010227,45.8
[T98b] 70,5360.0
Cl* NGC 5139 L 1754,224.0
2MASS J19453187+4724345,-46.29
ESO 572-49,1660.0
ESO 572-49,1660.0
[DCD2013] CSS J131106.8-030007,11.1
V* V832 Ori,19.951666
NGC 7213,1763.0
[MMH2011] HUCD4,3563.0
HD 92207,-8.5
HD 92207,-8.5
NGC 392,4678.0
CSIMon-007536,17.99
SDSS J082130.66+373330.6,116260.0
9 Persei,-14.3
Centaurus A,552.0
NGC 6045,9987.0
NGC 6045,9987.0
[DCD2013] CSS J131216.4+042216,31.7
[MMH2011] 72,2708.0
SDSS J152646.00+210607.2,106147.0
HD 154345,-47.04
KOI-2498,-36.7
SDSS J084054.18+505152.8,124110.0
SWELLS SDSS J1117+4704 lens,46435.0
Nu Arietis,8.0
[FK2002] 84,7965.0
SWELLS SDSS J1300+3704 lens,4758.0
IC 756,6279.0
Cl* NGC 5139 L 1352,215.62
Mahtessian 56,4946.0
NGC 4377,1359.0
[MMH2011] HUCD45,4218.0
SN 2005jj,90981.0
SL2S J020524-093023,124693.0
NGC 6845,6679.0
[SAB2013] SDSS J0105+0145 lens,89583.0
SN 2007au,5583.0
16 Camelopardalis,12.0
SWELLS SDSS J1556+3446 lens,21088.0
UGC 7129,926.0
UGC 7129,926.0
[DCD2013] CSS J135822.4-024448,14.5
Alpha² Canum Venaticorum,-4.1
FL Lyrae,7.1
Cl* NGC 5139 LEID 36228,253.49
[MMH2011] HUCD50,3794.0
Parumleo,18.41
[CLK2012] 24,910.0
[MCM2012] SA44 lens,142932.0
SN 2005jk,51826.0
V* LX Ori,24.702347
[DCD2013] CSS J130408.0+073718,4.5
HD 208313,-13.42
SN 2007bc,6494.0
SN 2005jh,31147.0
ESO 488-60,1803.0
[WH2007] UCD 8,3624.0
SN 2007bj,5083.0
[DCD2013] CSS J132745.4+054157,-35.4
SDSS J122114.17+090338.5,-21.4
SDSS J163150.32+185404.0,98771.0
PGC 62702,4154.0
2MASS J13264031-4726599,242.9
AB Aurigae,8.9
Gliese 412,68.76
ESO 427-34,2384.0
Cl* NGC 5139 L 683,234.06
IC 5364,8871.0
2MASS J19371884+4346391,-59.6
SDSS J154246.33+162951.7,87780.0
HD 60335,20.6
PGC 55844,10569.0
PGC 55844,10569.0
[GCG2013] G2,155952.0
KOI-2711,-0.6
Iota2 Librae,-4.0
SV* HV 877,301.38
[MCM2012] SA108 lens,165344.0
SN 2007bm,1674.0
SDSSCGA 574,17449.0
OGLE SMC-SC9 27258,186.0
101 Piscium,-19.9
2MASS J19283666+4056278,20.8
Cl* NGC 5139 LEID 23042,229.4
V* V2341 Ori,25.104748
20 Camelopardalis,-50.33
2MASS J19395696+4334456,-42.79
[DCD2013] CSS J134315.7+094544,11.8
2MASS J08274034+2441411,51.0
NGC 1316,1788.0
Cl* NGC 5139 L 823,209.57
NGC 4435,803.0
Rho Geminorum,-3.7
HAT-P-7,-10.05
HD 14433,-47.3
SN 2007br,14615.0
Kapteyn's Star,244.99
Cl* NGC 5139 LEID 89009,239.8
KOI-2443,-44.0
USGC U468,7057.0
[VHH81] 152,585.0
HD 27894,82.694
QW Puppis,0.1
2QZ J133326.9-021616,36.4
SN 2007ba,11493.0
ESO 428-28,2242.0
Alpha Caeli,0.0
