Subject,Object
It Might Be Time,Modular Recordings
It Might Be Time,Modular Recordings
Running Up That Hill,Noble & Brite
Sun Baked Snow Cave,Hydra Head Records
Your Name,Universal Music Japan
Colección 1985-1998,Grabaciones Accidentales
Altar,Southern Lord Records
Yellow Submarine,Apple
1962–1966,Apple
"Somos tú y yo, un nuevo día",Universal Music Group
The Best,Alabianca Records
04092001,Inoxia Records
Megatone,Inoxia Records
30 grandes canciones,Columbia Records
Roberto Carlos,Columbia Records
Cuts,RareNoiseRecords
La Luna / Whatever It Takes,Virgin Records
Merzdub,Caminante Recordings
Then Again…,Virgin Music Canada
Yummy,Def Jam Recordings
Yummy,Def Jam Recordings
Jung Brutal Gutaussehend 3,Banger Musik
Partikel II,Cold Spring
A Symphony of British Music,Decca
The Hundred-Foot Journey,Hollywood Records
