Subject,Object
RSCG 80,0.009
NGC 6845,0.021211
CTA-102,1.032
IC 5364,0.0302
NGC 1316,0.005871
MLCG 1580,0.029
HD 164595,2.074
LEDA 87205,0.02972
Huchra's lens,0.0002
[T98b] 70,0.018
ESO 427-14,0.006735
NGC 160,0.017522
ULAS J1342+0928,7.54
NGC 524,0.008106
NGC 3857,0.02093
[FK2002] 229,0.02884
HD 126961,-5.71
Mahtessian 56,0.016551
UGC 2994,0.011128
VV 699,0.012312
Centaurus A,0.0008
Abell 2261,0.22326
USGC U468,0.02382
NGC 4435,0.002577
NGC 59,0.001224
SDSSCGA 574,0.06
NGC 4377,0.004573
Abell 2199,0.0309
NGC 7500,0.035435
[FK2002] 84,0.026932
Abell 262,0.016227
Circinus Galaxy,0.0014
Abell 2744,0.308
MLCG 0619,0.02048
ESO 104-22,0.002652
NGC 392,156509.0
NGC 6045,0.03331
NGC 6045,0.03331
