Subject,Object
14th Landtag of Bavaria,15th th Landtag of Bavaria
13th Landtag of Bavaria,14th Landtag of Bavaria
12th Landtag of Bavaria,13th Landtag of Bavaria
11th Landtag of Bavaria,12th Landtag of Bavaria
10th Landtag of Bavaria,11th Landtag of Bavaria
9th Landtag of Bavaria,10th Landtag of Bavaria
8th Landtag of Bavaria,9th Landtag of Bavaria
7th Landtag of Bavaria,8th Landtag of Bavaria
Minister for the River Murray,Minister for Water and the River Murray
Saue City,Saue Rural Municipality
Oslo Engineering College,Oslo University College
Mõisaküla City,Mulgi Rural Municipality
Minister for Road Safety,"Minister for Police, Emergency Services and Correctional Services"
Minister for Emergency Services,"Minister for Police, Emergency Services and Correctional Services"
Minister for Police,"Minister for Police, Emergency Services and Correctional Services"
Valga City,Valga Rural Municipality
Department of the Public Actuary,Department of Treasury and Finance
Superannuation Department,Department of Treasury and Finance
Nesna University College,Nord University
Kuressaare City,Saaremaa Rural Municipality
"Minister for Manufacturing, Innovation and Trade",Minister for Investment and Trade
Minister of Social Welfare,Minister of Community Welfare
Oslo college of higher education,Bislet College Center
Narvik college of engineering,Narvik University College
Chief Secretary's Office,Attorney-General's Department
Crown Law Department,Attorney-General's Department
Minister for Communities and Social Inclusion,Minister for Human Services
Minister for Youth,Minister for Human Services
Minister for Disabilities,Minister for Human Services
