Subject,Object
2MASS J21402588+5815262,325.1078210387059
[PCC2011] C2,247.045875
Gliese 436 b,175.54622167
Gliese 436 b,175.54622167
LCLG-12 068,170.925583
ASAS J091748+1544.1,139.449878745409
G 115-42,135.1353185400642
Cl* NGC 6811 SAN 255,294.6715602857332
Cl* NGC 7654 CKK V16,351.20524106295954
HD 175950,284.8518381742724
2MASS J18314638-0210403,277.9432521778834
2MASS J05300215-6956171,82.5090283510422
Shk 284,168.875
LP 98-79,217.6574586499206
G 169-29,252.7414031290863
V* CW UMa,167.9655869781093
WASP-8,359.90029660602045
[GBN2014] 34,238.5121
[FK2002] 84,135.5667
2MASS J19395696+4334456,294.9873503052093
Alnilam,84.053388941
[MMF2013] F2 ch2-2-s0032,210.71326
NGC 3263,157.3058167
NGC 1875,80.440575
SDSSCGA 574,118.1875
Abell 2199,247.15417
V* V1791 Sgr,271.1226938766121
2MASS J19002573+4537087,285.1072569250158
LP 275-68,248.8642923482703
USGC S165,170.60458
VV 699,74.8667
2MASS J07323341+7241408,113.1391825490457
NGC 123,6.916608
HD 192639,303.6267812667419
[SS2011b] F1-37502,210.90492021
NGC 2349,107.7
9 Persei,35.5893117395513
NGC 7654 1042,351.3126462716759
HD 92207,159.3627841431903
HD 92207,159.3627841431903
RSCG 80,330.51917
[PCC2011] C3,247.045792
V* V1768 Sgr,271.0381309428121
G 210-2,302.0749024
2MASS J23172102+5928480,349.3375833
NGC 2276,111.8103542
NGC 2547,122.468165
26 Draconis,263.748306806
26 Draconis,263.748306806
2MASS J06302940+0504123,97.6225253152687
2MASS J19141637+4232025,288.5682184612177
NGC 4235,184.2911850951532
USGC U468,183.07792
BD+44 1302,88.2117216822523
LCLG-03 076,168.900375
24 Ophiuchi,254.200144637
UW Canis Majoris,109.668248705712
Abell 262,28.21
40 Eridani A,63.81799885833
NGC 2633,132.0192829628705
[MMF2013] F2 ch2-1-s0020,210.71034
V* V1784 Sgr,271.102516568393
Messier 82,148.9684583
DS Crucis,192.8249009495508
HD 96248,166.2398608844576
HD 195592,307.6457043483497
Abell 2744,3.583458
[GBN2014] 72,253.1107
NGC 541,21.4346042
2MASS J19283666+4056278,292.1527538080932
PGC 55844,235.6742152941606
G 29-69,357.3125871188628
Delta Equulei,318.62006378208
NGC 2293,101.9288
HD 13043,31.8928039757625
VB 10,289.2400430343057
[FK2002] 6,6.8662
2MASS J21402500+5816106,325.1042088135856
V4381 Sagittarii,272.1607751569288
V4381 Sagittarii,272.1607751569288
G 130-68,6.14533064965042
2MASS6X J01015581-7232401,15.482552
L 1159-16,30.0539841391376
V* V857 Cen,172.9438049373463
LCLG-03 082,170.713875
Mahtessian 252,246.875
G 75-30,39.3736741056821
NGC 2232,96.8125
[HS80] B182,23.4044013894821
HD 126961,217.1297402892753
HD 104985 b,181.3129904261104
2MASS J14382831+8229397,219.6180675389593
NGC 5450,210.6225
[SXY2015] 21,354.0591
2MASS J06310608+0457529,97.7753526692383
NGC 3256,156.9636833
NGC 6793,290.825
NGC 455,18.9901708
Mahtessian 56,137.61625
HD 147528,245.5294450407191
HD 14433,35.4809802307362
NOGG P1 530,169.03542
NGC 3446,163.02875
2MASS J19371884+4346391,294.3285299751086
LP 229-30,280.842189716355
Shk 321,169.0
TYC 1398-1797-1,130.6370895489842
CD-60 6745,265.0283509983981
NGC 7654 929,351.2076201152446
V* V346 Tau,57.0947860612275
2MASS J19503280+4010153,297.6366804970562
Rigel,78.634467067
V* V709 Cyg,326.2474839835954
2MASS J17532059+2516492,268.3358216454753
MLCG 0619,227.106705
2MASS J19264357+4807193,291.6815848426463
NGC 6281,256.1708
Iota Apodis,260.5244814805057
Gliese 174,70.3285639326502
G 253-6,118.9747032817914
NGC 7213,332.3175444303696
Mu Arae d,266.03626514261543
Mu Arae c,266.03626514261543
V* AA Cnc,129.3451778770591
V* PS Tau,56.9802972025552
HD 149026 b,247.623410350485
[SS2011b] F2-5628,210.75993
HD 124237,213.6403354470791
V* QW Tau,56.8949117113992
LP 625-34,250.0249348718491
HD 159870,263.3817067566923
2MASS J20431402+1536021,310.8084512690849
Ross 776,319.0242200244865
Saiph,86.93912016833
42 Draconis b,276.49640991498217
Epsilon Coronae Borealis,239.39688111375
Epsilon Coronae Borealis,239.39688111375
HD 109749 b,189.31824419797752
RASSCALS SS2b164,170.67917
Abell 2261,260.61792
[SSF98] V5,210.85588
[T98b] 70,8.47042
HD 164595,270.1620610825514
Wolf 1494,207.2025271268067
HD 15239,37.40726367457333
MLCG 1580,354.64333
IC 756,180.7408790306045
NGC 7654 1010,351.28230011522584
LCLG-12 061,168.962208
51 Pegasi b,344.36658506978085
