Subject,Object
Jönköping County,Västra Götaland County
Park County,Big Horn County
Summit County,Park County
Wien-Umgebung District,Vienna
Zambia,Zimbabwe
Paruro Province,Chumbivilcas Province
Acomayo Province,Chumbivilcas Province
Centro,Chamberí
Chamberí,Chamartín
Fuencarral-El Pardo,Chamartín
Tetuán,Chamartín
Jennersdorf District,Hartberg-Fürstenfeld District
Xiangheyuan Subdistrict,Zuojiazhuang Subdistrict
Montour County,Lycoming County
Carver County,McLeod County
Carver County,Scott County
Dakota County,Scott County
Benton County,Morrison County
Cass County,Morrison County
Aitkin County,Mille Lacs County
Benton County,Mille Lacs County
Clifford Township,Summit Township
Worcestershire,Warwickshire
Oxfordshire,Warwickshire
Warwickshire,Worcestershire
Worcestershire,Warwickshire
Oxfordshire,Warwickshire
Warwickshire,Worcestershire
Worcestershire,Warwickshire
Ribadesella,Cangues d'Onís
Amazonas,Roraima
Pará,Tocantins
Amazonas,Rondônia
Pará,Mato Grosso
Amazonas,Amazonas Department
Pará,Roraima
Mato Grosso,Pará
Amazonas,Pará
Amazonas,Acre
Ålandsfjärden coastal water body,Långfjärden coastal water body
Tübingen,Böblingen
Ludwigsburg,Stuttgart
Böblingen,Stuttgart
Ludwigsburg,Rems-Murr
Monrupino,Trieste
Tønder Municipality,Aabenraa Municipality
Slovakia,Hungary
Austria,Czech Republic
Czech Republic,Austria
Slovakia,Austria
Kingston,Plains Township
Luzerne,Kingston Township
Luzerne,Pringle
Kingston,Forty Fort
Luzerne,Courtdale
Kingston,Luzerne
Liezen District,Murau District
Murtal District,Murau District
Wesoła,Rembertów
Glenmont,Aspen Hill
Aspen Hill,Leisure World
Aspen Hill,Glenmont
Aspen Hill,Rockville
Padre Abad Province,Coronel Portillo Province
province of Milan,Province of Pavia
Shrewsbury,Wem
Engure Municipality,Mērsrags Municipality
Talsi Municipality,Mērsrags Municipality
Vecumnieki Municipality,Bauska Municipality
Rundāle Municipality,Bauska Municipality
Vecumnieki Municipality,Iecava Municipality
Talsi Municipality,Kuldīga Municipality
Talsi Municipality,Roja Municipality
Tērvete Municipality,Auce Municipality
Engure Municipality,Jelgava Municipality
Tērvete Municipality,Jelgava Municipality
Rundāle Municipality,Jelgava Municipality
Talsi Municipality,Ventspils Municipality
Teton County,Fremont County
Lincoln County,Sublette County
Teton County,Sublette County
Lincoln County,Sublette County
Teton County,Sublette County
Lincoln County,Caribou County
Teton County,Bonneville County
Teton County,Lincoln County
Teton County,Fremont County
Logan County,Morgan County
Adams County,York County
Jackson County,Meigs County
Lincoln County,Stevens County
Stevens County,Spokane County
Lincoln County,Adams County
Lincoln County,Ferry County
Mingo County,Lincoln County
Mason County,Jackson County
Logan County,Lincoln County
Kanawha County,Lincoln County
Jackson County,Kanawha County
Lincoln County,Creek County
Okfuskee County,Creek County
Payne County,Creek County
Province of Bari,Province of Potenza
Sesto ed Uniti,Cremona
Sacré-Cœur-de-Jésus,Sainte-Clotilde-de-Beauce
Newtown,Newtown Township
Kazuno District,Ōdate
Uchte,Steyerberg
Saint-Alexis-des-Monts,Saint-Édouard-de-Maskinongé
Grecia Canton,Poás Canton
