Subject,Object
Constantinople,Siege of Constantinople (821-823)
Constantinople,Siege of Constantinople
Constantinople,Siege of Constantinople
Soyuz TMA-9,atmospheric entry
Soyuz TMA-2,docking and berthing of spacecraft
San Francisco,1989 Loma Prieta earthquake
San Francisco,1906 San Francisco earthquake
Chicago,Great Chicago Fire
Schwabach station,start of manufacturing or construction
Journal of the International AIDS Society,created as open access
Open Biology,created as open access
Royal Society Open Science,created as open access
AIP Advances,created as open access
Optics Express,created as open access
Applied nanoscience,created as open access
1st International Workshop on Deep Learning for Knowledge Graphs and Semantic Technologies,paper submission deadline
Workshop at ESWC 2019 on Deep Learning for Knowledge Graphs,paper submission deadline
4th Annual International Conference on Computational Social Science,paper submission deadline
12th Conference on Language Resources and Evaluation,paper submission deadline
4th Annual International Conference on Computational Social Science,notification of paper acceptance
10th International Conference on Social Informatics,paper submission deadline
4th Annual International Conference on Computational Social Science,paper submission deadline
Eighth International Conference on Learning Representations,paper submission deadline
Thirty-second Annual Conference on Neural Information Processing Systems,paper submission deadline
Conference on Natural Language Processing 2019,paper submission deadline
"Language, Data and Knowledge 2019",paper submission deadline
The 10th Global WordNet Conference,paper submission deadline
Feodosiya,Siege of Theodosia (389 BC)
Pacific,destruction
Pacific,destruction
Fairy,destruction
Stadttheater Augsburg,conflagration
Berchtesgaden Chancellery Branch office,topping out
Berchtesgaden Chancellery Branch office,topping out
Pass Christian,Hurricane Katrina
Florida Entomologist,journal flipped to open access
Angle Orthodontist,journal flipped to open access
Bijdragen en Mededelingen Betreffende de Geschiedenis der Nederlanden,journal flipped to open access
Clinical epigenetics,journal flipped to open access
Deutsche Entomologische Zeitschrift,journal flipped to open access
Acta Societatis Botanicorum Poloniae,journal flipped to open access
Journal of environmental health science & engineering,journal flipped from open access to toll access
Iranian journal of environmental health science & engineering,journal flipped from open access to toll access
Journal of diabetes and metabolic disorders,journal flipped from open access to toll access
Iranian journal of environmental health science & engineering,journal flipped to open access
Journal of diabetes and metabolic disorders,journal flipped to open access
Appliqué inv. 853,acquisition
Appliqué inv. 850,acquisition
Appliqué inv. 848,acquisition
Appliqué inv. 739,acquisition
Appliqué inv. 734,acquisition
New York City,Consolidation of New York City
The 7th Swedish Workshop on Data Science,abstract submission deadline
Fourth International Workshop on Visualization and Interaction for Ontologies and Linked Data,abstract submission deadline
VOILA 2019 - Visualization and Interaction for Ontologies and Linked Data,abstract submission deadline
5th International Conference on Computational Social Science,abstract submission deadline
Tupelo,Battle of Tupelo
Sacramento,Great Flood of 1862
Ashkelon,Battle of Ascalon
Ashkelon,Siege of Ascalon
Fort Wayne,Siege of Fort Wayne
HMS Örskär,ceremonial ship launching
HMS Vinö,ceremonial ship launching
HMS Vinga,ceremonial ship launching
HMS Viksten,ceremonial ship launching
HMS Ven,ceremonial ship launching
HMS Utö,ceremonial ship launching
HMS Ulvön,ceremonial ship launching
HMS Tärnö,ceremonial ship launching
HMS Tjörn,ceremonial ship launching
HMS Tjurkö,ceremonial ship launching
HMS Sökaren,ceremonial ship launching
HMS Sveparen,ceremonial ship launching
Soyuz TMA-6,rocket launch
Soyuz TMA-11,rocket launch
Soyuz TMA-12,rocket launch
Soyuz TMA-21,rocket launch
Soyuz TMA-3,rocket launch
AMiBA,construction
Ooty Radio Telescope,construction
AMiBA,construction
Ooty Radio Telescope,construction
Greenbelt,real estate transaction
Greenbelt,construction
Parkstadt Bogenhausen,cornerstone laying ceremony
San Antonio,Siege of Béxar
San Antonio,god rest ye gentlemen
London,The Blitz
Prima Donna,shipwrecking
Prima Donna,shipwrecking
Albatross,shipwrecking
Swallow,shipwrecking
Antelope,shipwrecking
Dovey Belle,shipwrecking
Acorn,shipwrecking
Albatross,shipwrecking
Antelope,shipwrecking
Swallow,shipwrecking
Dovey Belle,shipwrecking
Acorn,shipwrecking
