Subject,Object
Rohini Satellite RS-1,Satellite Launch Vehicle 3
Apollo 17,Saturn V
Apollo 14,Saturn V
Apollo 15,Saturn V
Apollo 17,Saturn V
Apollo 15,Saturn V
HYLAS-4,Ariane 5ECA
Superbird-B3,Ariane 5ECA
BSAT-4a,Ariane 5ECA
SES-14,Ariane 5ECA
Mercury-Redstone 4,Mercury-Redstone Launch Vehicle
Mercury-Redstone 2,Mercury-Redstone Launch Vehicle
Mercury-Redstone 4,Mercury-Redstone Launch Vehicle
Sentinel-3B,Rokot
Sentinel-3A,Rokot
Sentinel-3B,Rokot
GSAT-14,Geosynchronous Satellite Launch Vehicle Mark II
Kalpana-1,Polar Satellite Launch Vehicle-G
QUESS,Long March 2D
INSAT-3B,Ariane 5
Sentinel-1B,Soyuz-2.1a
IRNSS-1I,Polar Satellite Launch Vehicle-XL
PAZ,Falcon 9 Full Thrust
INSAT-1C,Ariane 3
SAOCOM 1A,Falcon 9 Block 5
