Subject,Object
Top Thrill Dragster,193.1
2018 Classica Aldeias do Xisto,37.589
1934 Grand Prix des Nations,38.703
Cobra,75.6
2017 Tour de France,40.996
2017 Tour de France,40.996
2017 Tour de France,40.996
2017 Grand Prix de Fourmies,46.86
2017 Grand Prix de Fourmies,46.86
2019 Sundvolden Grand Prix,39.933
2019 Sundvolden Grand Prix,39.933
2017 Grand Prix Impanis-Van Petegem,43.383
"2017 Vuelta a España, Stage 15",36.025
"2017 Vuelta a España, Stage 15",36.025
2019 Paris–Roubaix,43.07
2017 Milano–Torino,42.137
2017 Milano–Torino,42.137
2017 Milano–Torino,42.137
2017 Milano–Torino,42.137
2017 Milano–Torino,42.137
2019 Ringerike Grand Prix,40.527
2019 Ringerike Grand Prix,40.527
1954 Liège–Bastogne–Liège,34.016
1954 Liège–Bastogne–Liège,34.016
2017 Tre Valli Varesine,40.03
2017 Tre Valli Varesine,40.03
2017 Tre Valli Varesine,40.03
2017 Tre Valli Varesine,40.03
2019 Tour of Norway,42.626
2019 Tour of Norway,42.626
2018 Paris–Roubaix,43.55
2015 Paris–Roubaix,43.476
"2017 Tour de France, Stage 8",41.592
2017 Paris–Roubaix,45.204
1933 Grand Prix des Nations,35.194
1953 Liège–Bastogne–Liège,34.215
1953 Liège–Bastogne–Liège,34.215
1953 Liège–Bastogne–Liège,34.215
1932 Grand Prix des Nations,37.129
2018 Tour of Norway,42.337
2018 Tour of Norway,42.337
Cheetah Hunt,96.6
2016 GP Laguna,40.219
1949 Liège–Bastogne–Liège,36.775
1949 Liège–Bastogne–Liège,36.775
2017 Kuurne–Brussels–Kuurne,43.345
Dodonpa,180.0
"2017 Tour de France, Stage 9",35.43
2017 Gran Premio di Lugano,36.605
2017 Gran Premio di Lugano,36.605
2018 Classica da Arrábida,48.5
1935 Grand Prix des Nations,36.621
