Subject,Object
Friendship People North-Caucasus Stage Race,cycle sport
Grand Prix Elsy Jacobs,cycle sport
Ecce Homo,motorsport
Ecce Homo,motorsport
Clive Churchill Medal,rugby league
Widnes Vikings,rugby league
Wests Tigers,rugby league
St. George Illawarra Dragons,rugby league
Salford Red Devils,rugby league
Saint-Esteve XIII Catalan,rugby league
Penrith Panthers,rugby league
Parramatta Eels,rugby league
North Queensland Cowboys,rugby league
Newcastle Knights,rugby league
New Zealand Warriors,rugby league
South Sydney Rabbitohs,rugby league
Manly-Warringah Sea Eagles,rugby league
Leigh Centurions,rugby league
Huddersfield Giants,rugby league
Wigan Warriors,rugby league
Leeds Rhinos,rugby league
St Helens RLFC,rugby league
Hull F.C.,rugby league
Catalans Dragons,rugby league
1988 Dow Classic,tennis
1990 Dow Classic,tennis
2002 DFS Classic,tennis
2000 DFS Classic,tennis
1999 DFS Classic,tennis
1997 DFS Classic,tennis
1996 DFS Classic,tennis
1995 DFS Classic,tennis
1989 Dow Classic,tennis
2005 DFS Classic,tennis
2006 DFS Classic,tennis
2012 AEGON Classic,tennis
Malaysian Open,tennis
Katowice Open,tennis
İstanbul Cup,tennis
Nottingham Open,tennis
1995 Thriftway ATP Championships,tennis
1989 Cincinnati Open,tennis
1990 Thriftway ATP Championships,tennis
1997 Great American Insurance ATP Championships,tennis
1991 Thriftway ATP Championships,tennis
1992 Thriftway ATP Championships,tennis
2008 Toray Pan Pacific Open,tennis
2011 Toray Pan Pacific Open,tennis
2005 Toray Pan Pacific Open,tennis
2009 Toray Pan Pacific Open,tennis
2007 Toray Pan Pacific Open,tennis
2012 Toray Pan Pacific Open,tennis
2002 Toray Pan Pacific Open,tennis
1997 Toray Pan Pacific Open,tennis
2010 Toray Pan Pacific Open,tennis
2018 Toray Pan Pacific Open,tennis
2017 Toray Pan Pacific Open,tennis
2016 Toray Pan Pacific Open,tennis
2015 Toray Pan Pacific Open,tennis
1975 Toray Sillook Open,tennis
2003 Madrid Trofeo Union Fenosa,tennis
1989 Spanish Open,tennis
1988 Spanish Open,tennis
1998 Páginas Amarillas Open,tennis
2006 Dutch Open,tennis
2005 Dutch Open,tennis
2002 Energis Open,tennis
2001 Energis Open,tennis
2000 Energis Dutch Open,tennis
1999 DFS Classic,tennis
1997 DFS Classic,tennis
1995 DFS Classic,tennis
1994 DFS Classic,tennis
1992 Dow Classic,tennis
1990 Dow Classic,tennis
1989 Dow Classic,tennis
1987 Dow Chemical Classic,tennis
1986 Edgbaston Cup,tennis
1985 Edgbaston Cup,tennis
2004 Copa Colsanitas,tennis
2009 Copa Sony Ericsson Colsanitas,tennis
2012 Copa Sony Ericsson Colsanitas,tennis
2013 Copa Colsanitas,tennis
2008 Copa Colsanitas,tennis
2003 Copa Colsanitas,tennis
2001 Copa Colsanitas,tennis
Lion's Cup,tennis
Odlum Brown Vancouver Open,tennis
National Bank Cup,tennis
2019 Internazionali Femminili di Palermo,tennis
2007 Legg Mason Tennis Classic,tennis
2005 Legg Mason Tennis Classic,tennis
2009 Legg Mason Tennis Classic,tennis
2000 Legg Mason Tennis Classic,tennis
2009 Pilot Pen Tennis,tennis
2008 Pilot Pen Tennis,tennis
2007 Pilot Pen Tennis,tennis
2004 Pilot Pen Tennis,tennis
2003 Pilot Pen Tennis,tennis
2001 Pilot Pen Tennis,tennis
2012 New Haven Open at Yale,tennis
2018 Connecticut Open,tennis
2017 Connecticut Open,tennis
2016 Connecticut Open,tennis
2015 Connecticut Open,tennis
2014 Connecticut Open,tennis
