Subject,Object
2018 Classica Aldeias do Xisto,Álvaro
Kalpana-1,Satish Dhawan Space Centre First Launch Pad
Astrosat,Satish Dhawan Space Centre First Launch Pad
Akari,Uchinoura Space Center
"2018 Adriatica Ionica Race, stage 1",Musile di Piave
Nuclear Spectroscopic Telescope Array,Stargazer
2019 Ringerike Grand Prix,Hønefoss
2019 Ringerike Grand Prix,Hønefoss
"2018 Czech Cycling Tour, stage 1",Uničov
2007 Giro di Lombardia,Varese
2009 Giro di Lombardia,Varese
GSAT-14,Satish Dhawan Space Centre Second Launch Pad
"2019 Vuelta a España, stage 8",Valls
Solar Dynamics Observatory,Cape Canaveral Air Force Station Space Launch Complex 41
2002 Giro di Lombardia,Cantù
Kosmos 238,Baikonur Cosmodrome
Kosmos 496,Baikonur Cosmodrome
Soyuz 20,Baikonur Cosmodrome
Kosmos 213,Baikonur Cosmodrome
"2018 Tour de l'Avenir, stage 4",Orléans
2016 La Flèche Wallonne Féminine,Huy
2015 La Flèche Wallonne Féminine,Huy
2014 La Flèche Wallonne Féminine,Huy
2013 La Flèche Wallonne Féminine,Huy
"2019 Giro d'Italia, stage 15",Ivrea
"2019 Giro d'Italia, stage 15",Ivrea
2019 Sundvolden Grand Prix,Sundvollen
2019 Sundvolden Grand Prix,Sundvollen
2014 Giro di Lombardia,Como
1988 Giro di Lombardia,Como
Gran Premio Femenino de Plouay 2018,Plouay
2019 Grand Prix de Plouay,Plouay
Gran Premio Femenino de Plouay 2018,Plouay
2019 Grand Prix de Plouay,Plouay
Gran Premio Femenino de Plouay 2018,Plouay
2019 Grand Prix de Plouay,Plouay
Gran Premio Femenino de Plouay 2018,Plouay
2019 Grand Prix de Plouay,Plouay
Gran Premio Femenino de Plouay 2018,Plouay
2019 Grand Prix de Plouay,Plouay
Gran Premio Femenino de Plouay 2018,Plouay
2018 Clásico RCN,Cali
2018 Clásico RCN,Cali
"1970 Tour de Romandie, Prologue",Geneva
1989 Milan–San Remo,Milan
1980 Milan–San Remo,Milan
1966 Milan–San Remo,Milan
1958 Milan–San Remo,Milan
Milan – San Remo 2019,Milan
2018 Milan–San Remo,Milan
2017 Milan–San Remo,Milan
2016 Milan–San Remo,Milan
2015 Milan – San Remo,Milan
Milan – San Remo 2019,Milan
2018 Milan–San Remo,Milan
2017 Milan–San Remo,Milan
2016 Milan–San Remo,Milan
"2019 Vuelta a España, stage 6",Mora de Rubielos
Hitomi,Yoshinobu Launch Complex
2018 Classica da Arrábida,Sesimbra
Solar and Heliospheric Observatory,Spaceport Florida Launch Complex 36
"2018 Madrid Challenge by La Vuelta, stage 1",Boadilla del Monte
"2019 Giro d'Italia, stage 17",Commezzadura
"2019 Giro d'Italia, stage 17",Commezzadura
"2019 Giro d'Italia, stage 17",Commezzadura
1990 Giro di Lombardia,Monza
"2018 Tour of Britain, stage 5",Cockermouth
SAOCOM 1A,Vandenberg AFB Space Launch Complex 4
Sentinel-3B,Plesetsk Cosmodrome Site 133
Sentinel-3A,Plesetsk Cosmodrome Site 133
Sentinel-3B,Plesetsk Cosmodrome Site 133
2016 GP Laguna,Funtana
INSAT-1C,ELV
Mohammed VI - B,ELV
2017 Clásico RCN,Marsella
2017 Clásico RCN,Marsella
Wilkinson Microwave Anisotropy Probe,Cape Canaveral Air Force Station Space Launch Complex 17
