Subject,Object
2013 AFC Futsal Club Championship,Kaoru Morioka
2018-19 Ekstraklasa,Igor Angulo
2009 Thai Super Cup,Hironori Saruta
2014 EMF miniEURO,Joe Andrew
2014–15 LPB season,Nuno Marçal
1984 Nehru Cup,Ricardo Gareca
1982 Lliga Catalana de Bàsquet,Josep Maria Margall
1994 FIBA Europe Under-20 Championship,Boris Gorenc
2016 CONCACAF Futsal Championship,Frederico Moojen
2015 POMIS Cup,Dramane Traoré
2014 Caribbean Cup,Darren Mattocks
2016-17 Ekstraklasa,Marco Paixão
2015–16 LNB Pro A season,Michael Thompson
