Subject,Object
University of Massachusetts Amherst,"Stockbridge School of Agriculture, University of Massachusetts Amherst"
"Barking, Havering and Redbridge University Hospitals NHS Trust",Harold Wood Hospital
HSBC Holdings,The Hongkong and Shanghai Banking Corporation
New Line Cinema,Fine Line Features
Vodafone,Mannesmann
Texas A&M University,"College of Liberal Arts, Texas A and M University"
Texas A&M University,Texas A&M University at Qatar
The Weinstein Company,Dimension Films
University of Alaska Fairbanks,Alaska Space Grant Program
North Cumbria University Hospitals NHS Trust,Cumberland Infirmary
Ministry of Petroleum and Energy of Norway,Petoro
Nike,Converse
North Carolina State University,North Carolina Sea Grant
North Carolina State University,D. H. Hill Library
Unilever,Ben & Jerry's
Visa Inc.,Visa Europe
Boeing,Boeing Capital
Boeing,Boeing Capital
Google,YouTube
"University of California, Berkeley",Center for Quantum Coherent Science
"University of California, Berkeley","Blum Center for Developing Economies, University of California Berkeley"
"University of California, Berkeley",International Computer Science Institute
United Lincolnshire Hospitals NHS Trust,Grantham and Kesteven Hospital
Northrop Grumman,Newport News Shipbuilding
Northrop Grumman,Northrop Grumman Aeronautics Systems
Ministry of Energy and Coal Mining,Energoatom
BNP Paribas,BNP Paribas Asset Management
Michigan State University,McLaren Flint
"Ministry of Energy, Utilities, and Climate",Danish Meteorological Institute
Siemens,Siemens
Cornell University,Kavli Institute at Cornell for Nanoscale Science
Cornell University,Cornell Law School
Cornell University,Kavli Institute at Cornell for Nanoscale Science
Philip Morris International,Papastratos
Monsanto,Monsanto (India)
"Ministry of Enterprise, Energy and Communications",Swedish Agency for Economic and Regional Growth
Worcestershire Acute Hospitals NHS Trust,Alexandra Hospital
Novartis,Sandoz
Total S.A.,Total Petroleum Ghana
Weleda,Weleda (Germany)
Weleda,Weleda (Germany)
West Virginia University,West Virginia Space Grant Consortium
Isle of Wight NHS Trust,St Mary's Hospital
Pixar,Pixar Canada
Rossmann,Rossmann
