Subject,Object
Mario franchise,Super Mario universe
Mario franchise,Super Mario universe
Mortal Kombat,Mortal Kombat universe
The New Mutants,Revised X-Men Cinematic Universe
Avatar 2,fictional universe of Avatar
Wonder Woman 1984,DC Extended Universe
Captain America: The Winter Soldier,Marvel Cinematic Universe
Iron Man,Marvel Cinematic Universe
Captain America: The Winter Soldier,Marvel Cinematic Universe
Iron Man,Marvel Cinematic Universe
Captain America: The Winter Soldier,Marvel Cinematic Universe
Iron Man,Marvel Cinematic Universe
Captain America: The Winter Soldier,Marvel Cinematic Universe
Iron Man,Marvel Cinematic Universe
Captain America: The Winter Soldier,Marvel Cinematic Universe
The Incredible Hulk,Marvel Cinematic Universe
Iron Man,Marvel Cinematic Universe
Captain America: The Winter Soldier,Marvel Cinematic Universe
