Subject,Object
Berkel,European Otter
Klautzke-See und Waldmoore mit Kobbelke,Leucorrhinia pectoralis
Auf dem Bockshorn,Sand lizard
Bergwiesen Lippe mit Buchheller- und Mischebachtal,Phengaris nausithous
Bergwiesen Lippe mit Buchheller- und Mischebachtal,European bullhead
Bielenberg mit Stollen,Myotis myotis
Bielenberg mit Stollen,Myotis myotis
Bergwerk Thülen,Myotis myotis
Baumberge,Myotis myotis
"Lusebredde, Hellinghäuser Wiesen und Klostermersch",Eurasian Beaver
"Lusebredde, Hellinghäuser Wiesen und Klostermersch",Eurasian Beaver
Bagno mit Steinfurter Aa,Barbastelle
