Subject,Object
2010 Volta ao Algarve,RadioShack 2010
2010 Volta ao Algarve,RadioShack 2010
2018 Tour de Langkawi,Wilier Triestina-Selle Italia 2018
2018 Tour de Langkawi,Bennelong-SwissWellness-Cervélo
Paris-Nice 2019,AG2R La Mondiale 2019
Paris-Nice 2019,AG2R La Mondiale 2019
Paris-Nice 2019,AG2R La Mondiale 2019
Paris-Nice 2019,AG2R La Mondiale 2019
Paris-Nice 2019,AG2R La Mondiale 2019
2017 Tour of Belgium,2017 Quick-Step Floors
2018 Vuelta a la Comunidad de Madrid,Caja Rural-Seguros RGA 2018
2018 Vuelta a la Comunidad de Madrid,Manzana Postobón 2018
2018 Tour de l'Ain,Manzana Postobón 2018
2019 Tour of Norway,Sunweb 2019
2019 Tour of Norway,2019 Deceuninck-Quick Step
2017 Four Days of Dunkirk,AG2R La Mondiale 2017
2009 Volta ao Algarve,Columbia-HTC 2009
2009 Volta ao Algarve,Columbia-HTC 2009
2019 Settimana Internazionale di Coppi e Bartali,Androni Giocattoli-Sidermec 2019
2019 Settimana Internazionale di Coppi e Bartali,Neri Sottoli-Selle Italia-KTM 2019
2018 Tour of Norway,Roompot-Nederlandse Loterij 2018
2018 Tour of Norway,Sport Vlaanderen-Baloise 2018
2018 Paris-Nice,Sky 2018
2018 Paris-Nice,Sky 2018
2018 Paris-Nice,Sky 2018
2018 Paris-Nice,Sky 2018
2016 Tour de l'Ain,AG2R La Mondiale 2016
2016 Tour de l'Ain,AG2R La Mondiale 2016
2018 Tour of Belgium,Katusha-Alpecin 2018
2017 Vuelta a la Comunidad de Madrid,Manzana Postobón 2017
2017 Vuelta a la Comunidad de Madrid,Movistar 2017
2015 Tour of Belgium,BMC Racing 2015
2017 Paris–Nice,Bahrain-Merida 2017
2018 Settimana Internazionale di Coppi e Bartali,Androni Giocattoli-Sidermec 2018
2018 Settimana Internazionale di Coppi e Bartali,Aqua Blue Sport 2018
2018 Four Days of Dunkirk,Aqua Blue Sport 2018
2017 Tour de l'Ain,Wanty-Groupe Gobert 2017
2016 Tour of Belgium,2016 Etixx-Quick Step
