Subject,Object
Colombian National Road Race Championships,1
Portuguese National Road Race Championships,1
Czech National Road Race Championships,1
Romanian National Road Race Championships,1
Greek National Road Race Championships,1
Torremolinos International Fantastic Film Festival,1
Gran Paradiso Film Festival,1
Camden International Film Festival,1
In the Palace International Short Film Festival,1
Chicago International Children's Film Festival,1
Israeli Film Festival of Philadelphia,1
San Diego Film Week,1
Horrible Imaginings,1
San Francisco Transgender Film Festival,1
Montreal International Animation Festival,1
Animafest Zagreb,1
TLVFest,1
Finnish League Cup,1
Scottish League Cup,1
Russian Premier League Cup,1
USSR Federation Cup,1
Trinidad and Tobago League Cup,1
PFL Cup,1
Coupe de la Ligue,1
Thai League Cup,1
Taça da Liga,1
Federation Cup,1
Colombian National Road Race Championships,1
Croatian National Road Race Championships,1
Belarusian National Road Race Championships,1
Dutch National Road Race Championships,1
Swedish National Road Race Championships,1
Polish National Road Race Championships,1
New Zealand National Road Race Championships,1
Polish National Road Race Championships,1
New Zealand National Road Race Championships,1
Bofrost Cup on Ice,1
Grand Prix of Figure Skating Final,1
Marathon des Sables,1
