Subject,Object
Udmurt,Cyrillic script
Moksha,Cyrillic script
Udmurt,Cyrillic script
Moksha,Cyrillic script
Udmurt,Udmurt writing
Udmurt,Cyrillic script
Danish,Latin script
Danish,Latin script
Danish,Latin script
Danish,Latin script
German,Latin script
Latin,Latin script
German,Latin script
Jiménez,Latin script
Ossa,Latin script
Aguirre,Latin script
López,Latin script
Zelaya,Latin script
Zabaleta,Latin script
Segura,Latin script
Tellechea,Latin script
Mendizabal,Latin script
Munoz,Latin script
Arteche,Latin script
Lascurain,Latin script
Lacunza,Latin script
Etxaide,Latin script
Bolingbroke,Latin script
Western,Latin script
Hastie,Latin script
Feltham,Latin script
Lawrance,Latin script
Gooderham,Latin script
Leeming,Latin script
Ridgely,Latin script
Shelden,Latin script
Gillean,Latin script
Stenhouse,Latin script
Gilly,Latin script
Romansh,Latin script
Romansh,Latin script
Romansh,Latin script
de la Cruz,Latin script
de la Rosa,Latin script
de Lima,Latin script
de la Vega,Latin script
de Jong,Latin script
de la Cueva,Latin script
de las Cuevas,Latin script
de Alencar,Latin script
de la Torre,Latin script
de Jonge,Latin script
de la Peña,Latin script
de la Puerta,Latin script
McClung,Latin script
McGuire,Latin script
McManus,Latin script
McLaughlin,Latin script
著,Hanja
著,Hanja
著,Hanja
器,Hanja
海,Hanja
Ancient Greek,Greek alphabet
Ancient Greek,Greek alphabet
Ancient Greek,Greek alphabet
Ancient Greek,Greek alphabet
